Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
64.92,13.49,71.39,10.39,91.25,24.49,38.48,25.51,15.79,7.77,58.37,22.42
50.32,62.87,89.13,49.29,13.77,81.33,69.66,77.87,60.5,88.38,95.44,97.32
85.34,93.72,69.38,2.6,25.41,98.14,98.15,27.78,90.24,7.83,50.4,46.65
66.47,74.45,4.51,86.04,69.43,76.69,85.64,72.11,88.01,25.06,16.67,50.83
52.08,42.28,40.16,16.79,17.42,94.95,96.58,95.67,66.05,15.91,21.9,0.37
50.09,66.28,72.2,11.74,94.04,41.4,78.83,8.43,18.52,66.74,66.48,57.65
50.3,29.13,54.9,36.16,12.77,32.69,20.09,5.32,40.79,25.48,21.61,72.93
76.18,94.83,66.2,15.91,82.72,48.73,21.01,38.93,49.78,19.68,86.95,57.03
0.75,88.99,18.61,53.09,63.07,84.44,69.01,9.28,92.68,25.47,26.3,24.25
55.04,63.74,82.92,10.13,0.61,90.32,93.01,9.07,46.83,18.14,13.1,54.95
10.73,38.02,46.48,19.35,19.22,21.82,34.24,89.41,62.27,98.37,91.19,48.91
91.82,32.66,40.78,16.86,58.29,79.94,85.56,65.68,79.32,49.85,36.26,43.07
87.34,13.38,28.13,54.26,32.54,46.68,66.81,60.25,47.35,76.66,78.43,20.26
32.78,26.65,40.61,49.93,65.07,14.83,25.72,41.14,89.06,86.81,45.79,37.65
44.28,0.48,15.95,40.92,77.26,85.02,56.58,86.98,11.06,60.35,14.38,41.16
4.19,69.6,22.83,2.65,40.81,61.41,91.12,65.79,15.28,41.76,71.78,22.55
65.97,75.02,88.33,60.77,17.85,31.84,75.79,7.99,33.55,52.45,16.24,62.55
19.46,45.69,83.59,99.72,39.67,71.25,61.7,14.89,50.82,68.16,58.27,60.61
2.14,26.23,12.52,11.94,87.93,36.62,42.83,55.1,96.37,34.1,52.53,43.93
68.77,13.33,6.08,46.53,40.66,68.84,75.59,81.48,22.34,58.24,16.42,58.59
63.16,30.79,41.2,14.79,14.22,56.34,90.95,58.11,21.13,20.45,36.62,88.96
43.87,68.23,60.37,36.55,86.16,8.0,11.41,43.35,22.62,97.5,14.14,9.8
47.8,5.26,15.44,66.42,9.95,3.05,79.65,92.33,70.46,47.34,68.86,27.65
74.2,85.36,23.36,32.6,61.14,22.38,57.48,82.58,26.5,87.71,62.82,45.54
9.19,37.95,59.49,50.3,53.29,96.23,22.72,55.45,58.79,4.56,66.38,89.99
37.64,17.18,49.71,36.74,51.88,49.77,64.14,49.85,28.06,31.43,11.39,23.47
42.38,90.63,47.16,62.02,86.99,83.43,62.28,29.48,6.21,59.92,57.31,98.51
72.78,80.94,46.27,44.65,74.75,41.72,96.75,16.83,15.58,57.18,73.54,11.37
23.84,,46.42,0.07,81.6,54.23,67.01,88.86,14.79,78.29,14.1,56.31
92.6,,25.5,94.41,42.96,39.29,71.06,84.67,83.33,23.71,69.17,81.38
72.94,,54.81,,61.15,,68.58,17.29,,58.77,,55.3
